;word;part_of_speech;Pozitivitate;Negativitate;Furie;Anticipare;Dezgust;Frica;Bucurie;Tristete;Surpriza;Incredere;wn_synset_id
8576;pierde cu firea;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8577;pierde cumpătul;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8610;părere de rău;Expresie;1;0;0;0;1;1;0;1;0;0;ENG30-07536870-n
8620;presimţire rea;Expresie;0;1;0;1;0;1;0;1;0;0;
8623;toane proaste;Expresie;0;1;1;0;0;0;0;0;0;0;ENG30-07552087-n
8624;proastă dispoziție;Expresie;0;1;1;0;0;0;0;0;0;0;ENG30-07552087-n
8628;prost dispus;Expresie;0;1;1;0;0;0;0;1;0;0;DEX
8637;pune în încurcătură;Expresie;0;1;0;0;0;0;0;0;1;0;ENG30-00620379-v
8638;rău de gură;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8639;rău intenţionat;Expresie;0;1;1;0;0;1;0;0;0;0;DEX
8641;rea voință;Expresie;0;1;1;0;0;1;0;1;0;0;ENG30-04842313-n
8653;avea remușcări;Expresie;0;1;0;0;1;1;0;1;0;0;ENG30-01796582-v
8667;satisfacţie sufletească;Expresie;1;0;0;0;0;0;1;0;0;1;
8686;scoate din sărite;Expresie;0;1;1;0;0;1;0;0;0;0;ENG30-01787709-v
8687;scoate din minți;Expresie;0;1;1;0;0;1;0;0;0;0;ENG30-01787709-v
8689;scos din sărite;Expresie;0;0;1;0;0;0;0;0;0;0;DEX
8709;-și bate capul;Expresie;0;1;0;1;0;1;0;0;0;0;ENG30-01767163-v
8750;sentiment de culpabilitate;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8755;sete de răzbunare;Expresie;0;1;1;1;0;1;0;0;0;0;ENG30-07550891-n
8767;lua prin surprindere;Expresie;0;0;0;0;0;0;0;0;1;0;ENG30-01809064-v
8768;da pe spate;Expresie;0;0;0;0;0;0;0;0;1;0;ENG30-01809064-v
8791;strângere de inimă;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
